ID,GENDER,CUSTOMER_RISK_STATUS,INDUSTRY,RESIDENCE,CUSTOMER_STATUS,SEGMENT,BRANCH,PROMISE_SUCCESS,OUTCOME,TIME_STAMP,ACTIVITY,VERSION_NUMBER,GROUP_NAME,DELINQUENCY_STRING,DELINQUENT_STATUS,DAO_AREA,LOAN_STATUS,REPAY_FREQUENCY,REPAY_CURRENCY,LOAN_TYPE,STAGE
843260,MALE,A5,3410,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,PTP,"2021-01-18 09:08",EMAIL,NULL,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",NULL
843331,FEMALE,B9,1245,KE,"NORMAL CLIENT","PERSONAL BANKING","NANYUKI BRANCH",NO,NONE,"2021-10-08 18:06:12",NONE,1,HP,"PERSONAL BANKING",B9,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",REPOSSESSION
843346,FEMALE,A5,2410,KE,"NORMAL CLIENT","PERSONAL BANKING","HARAMBEE BRANCH",NO,NONE,"2021-10-08 18:06:12",NONE,1,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",REPOSSESSION
843350,MALE,B9,3025,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,PTP,"2021-04-19 15:22:10",CALL,1,HP,"PERSONAL BANKING",B9,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",REPOSSESSION
843368,MALE,A5,3435,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,RESTRUCTURE,"2021-01-04 15:42",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CLOSE,"e0Y e1M e0W o5D e0F",KES,,NULL
843418,MALE,B9,2410,KE,"NORMAL CLIENT","PERSONAL BANKING","HARAMBEE BRANCH",NO,RESTRUCTURE,"2020-11-04 09:42",CALL,NULL,HP,"PERSONAL BANKING",B9,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",REPOSSESSION
843792,MALE,A5,1897,KE,"NORMAL CLIENT","PERSONAL BANKING","ABC BRANCH",NO,RESTRUCTURE,"2020-11-04 09:49",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",COLLECTION
843908,MALE,A5,1030,KE,"NORMAL CLIENT","PERSONAL BANKING","RONGAI BRANCH",NO,PTP,"2021-03-09 08:51",EMAIL,1,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",COLLECTION
844213,MALE,A5,1030,KE,"NORMAL CLIENT","PERSONAL BANKING","MACHAKOS BRANCH, MACHAKOS",NO,RESTRUCTURE,"2021-03-02 10:01",CALL,NULL,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",REPOSSESSION
844293,FEMALE,A5,3430,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,PTP,"2021-09-13 10:29",EMAIL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",COLLECTION
844359,MALE,A5,1030,KE,"NORMAL CLIENT","PERSONAL BANKING","NAKURU BRANCH, NAKURU",NO,PTP,"2020-12-03 08:12",EMAIL,NULL,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",NULL
844408,MALE,A5,2115,KE,"NORMAL CLIENT","PERSONAL BANKING","MOI AVENUE BRANCH, MOMBASA",NO,PTP,"2021-02-17 15:06",EMAIL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W e0D e0F",KES,"LOAN - ASSET FINANCE",COLLECTION
844434,MALE,A5,2410,KE,"NORMAL CLIENT","PERSONAL BANKING","ROSSLYN RIVIERA BRANCH",NO,RESTRUCTURE,"2020-10-14 12:09",CALL,NULL,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",COLLECTION
844640,FEMALE,A5,2410,KE,"NORMAL CLIENT","PERSONAL BANKING","RONGAI BRANCH",NO,PTP,"2021-03-25 10:08",EMAIL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",COLLECTION
844680,MALE,A5,3025,KE,"NORMAL CLIENT","PERSONAL BANKING","THIKA BRANCH, THIKA",NO,PTP,"2021-03-11 14:19",CALL,NULL,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Asset Finance Loan",REPOSSESSION
844863,FEMALE,A5,2805,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,PTP,"2021-03-03 08:46",EMAIL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",COLLECTION
845244,FEMALE,A5,2410,KE,"NORMAL CLIENT","PERSONAL BANKING","KENYATTA AVENUE",NO,PTP,"2021-04-26 14:02",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",COLLECTION
845623,FEMALE,A5,3479,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,RESTRUCTURE,"2020-11-24 09:36:24",CALL,2,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",REPOSSESSION
