ID,GENDER,CUSTOMER_RISK_STATUS,INDUSTRY,RESIDENCE,CUSTOMER_STATUS,SEGMENT,LOAN_BRANCH_CODE,PROMISE_SUCCESS,OUTCOME,TIME_STAMP,ACTIVITY,VERSION_NUMBER,GROUP_NAME,DELINQUENCY_STRING,DELINQUENT_STATUS,DAO_AREA,LOAN_STATUS,REPAY_FREQUENCY,REPAY_CURRENCY,LOAN_TYPE,LOAN_STAGE
282807,,,,,Active,,11,YES,PTP,2022-02-21 16:49:03,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,52,COLLECTION
102827,,,,,Active,,9,NO,Unreachable: Out of reach,2022-02-21 16:55:26,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,79,COLLECTION
182847,,,,,Active,,9,NO,Unreachable: Out of reach,2022-02-21 16:58:20,CALL,4,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,74,COLLECTION
200913,,,,,Active,,2,NO,Unreachable: Out of reach,2022-02-21 17:00:21,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,79,COLLECTION
202044,,,,,Active,,4,YES,PTP,2022-02-21 17:15:06,CALL,4,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,79,COLLECTION
164369,,,,,Active,,9,YES,PTP,2022-02-22 08:30:27,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,68,
131214,,,,,Active,,4,YES,PTP,2022-02-22 10:09:17,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,79,COLLECTION
131363,,,,,Active,,10,YES,PTP,2022-02-22 10:20:55,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,74,COLLECTION
136975,,,,,Active,,6,NO,Unreachable: Ringing no answer,2022-02-22 10:28:07,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,52,COLLECTION
200834,,,,,Active,,2,NO,NIP,2022-02-22 10:30:48,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,74,COLLECTION
200834,,,,,Active,,2,NO,Unreachable: Ringing no answer,2022-02-22 10:34:54,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
275537,,,,,Active,,3,NO,Unreachable: Ringing no answer,2022-02-22 10:40:38,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,74,COLLECTION
